Month,Account Creations,Active Users,Active Users Acct Creation On Or After Regwall,Active Users Acct Creation On Regwall,Active Users Purchase On Or After Paywall,Active Users Purchase On Or After Regwall,Basic Subscriber Active Users,Basic Subscriber DAU Per MAU,Basic Subscriber Minutes,Basic Subscriber Page Views,Basic Subscriber Total Users,DAU Per MAU,Digital Subscriber Active Users,Digital Subscriber DAU Per MAU,Digital Subscriber Minutes,Digital Subscriber Page Views,Digital Subscriber Total Users,Event Click Active Users,Event Clicks,Event Registration Click Active Users,Event Registration Clicks,Minutes,New Subscription Finishes,New Subscription Starts,Newsletter Signup Active Users,Newsletter Signups,Newsletter Unsubscribes,Non Registrant Active Users,Non Registrant DAU Per MAU,Non Registrant Minutes,Non Registrant Page Views,Non Registrant Total Users,Page Views,Paywall Active Users,Paywall Conversion Rate,Paywall Views,Print Subscriber Active Users,Print Subscriber DAU Per MAU,Print Subscriber Minutes,Print Subscriber Page Views,Print Subscriber Total Users,Purchase Active Users,Purchases,Registrant Active Users,Registrant DAU Per MAU,Registrant Minutes,Registrant Page Views,Registrant Total Users,Regwall Account Creations,Regwall Active Users,Regwall Conversion Rate,Regwall Purchases,Regwall Views,Site License Active Users,Site License By Domain Active Users,Site License By Domain DAU Per MAU,Site License By Domain Minutes,Site License By Domain Page Views,Site License By Domain Total Users,Site License By IP Active Users,Site License By IP DAU Per MAU,Site License By IP Minutes,Site License By IP Page Views,Site License By IP Total Users,Site License DAU Per MAU,Site License Minutes,Site License Page Views,Site License Total Users,Subscriber Active Users,Subscriber DAU Per MAU,Subscriber Minutes,Subscriber Page Views,Subscriber Total Users,Subscription Renewal Finishes,Subscription Renewal Starts,Total Users
2026-05,6349,639253,4595,4575,101,148,686,0.1555564772138503,719539,7463,689,0.0393150465102879,5848,0.1433290822140307,5815254,62623,5877,675,814,110,129,1250264,327,44127,2289,3257,214,523612,0.0328031155779687,9287793,697595,526011,1423019,6476,0.0153123104912067,15372,2460,0.1365904466203271,1962586,24889,2466,362,376,25855,0.0543052422486371,6529852,91327,26114,6206.0,351707,0.0130909070189483,13.0,433117,125967,37586,0.1120231896667246,27714189,274337,37755,91700,0.0358790270479226,22963378,256159,92256,0.0553483264263897,50677567,530496,126761,8931,0.150288101423034,8497379,94975,8969,79,301,641799
2026-04,9760,840337,6713,6629,284,461,720,0.1620741776,853212,9060,722,0.0453429249666666,6670,0.1592939409666666,6943530,80886,6686,607,738,93,119,1592792,865,57279,965,1756,230,676029,0.0371516404,11531100,907861,677675,1862465,8892,0.0318100358422939,24719,2726,0.1486255717,2617579,32072,2734,872,898,30958,0.0601719921333333,8298425,118374,31169,9487.0,487147,0.0140194137449982,198.0,597072,171899,41891,0.1253132214,33809060,333185,42105,135071,0.0473501646,31433254,367948,135855,0.0674389181666666,65242314,701133,173006,10035,0.1573437898666666,10414321,122018,10059,112,379,843718
2026-03,9916,766758,6628,6592,140,203,746,0.1398541799032258,709779,7797,750,0.0427383782258064,6143,0.1508776402580645,6026672,75246,6167,554,680,120,133,1400500,413,56541,1048,2040,260,617805,0.0358261175483871,11256460,848455,619449,1719330,7856,0.017502188,22378,2751,0.1403127644193548,2374868,33115,2759,465,486,29958,0.0552221852903225,7255912,114680,30200,9392.4404527,430629,0.015371414,48.0,537693,156749,39946,0.1101997083225806,28873632,304365,40135,121066,0.0422918964193548,27471497,323599,121676,0.0603264953548387,56345129,627964,157554,9577,0.1479662078064516,9111319,116158,9613,105,386,768814
2026-02,10468,747210,7263,7237,142,211,757,0.1555033813571428,798273,8047,757,0.0417685750357142,5987,0.1497496002857143,5860936,68947,6005,366,466,122,134,1459320,482,36941,1108,2106,280,598590,0.0340875816428571,10756816,803599,600329,1666697,8166,0.017180883,22121,2693,0.1383747062857143,2279295,27526,2702,541,554,30679,0.0613579221785714,8204391,115507,30865,10150.0,425160,0.016830109,35.0,526159,161041,40876,0.1189157463571428,31179014,299524,41021,124085,0.046740869,28430726,330920,124572,0.0653940546428571,59609740,630444,161758,9398,0.1479144167142857,8938504,104520,9425,103,372,748957
2026-01,9120,843204,6338,6291,160,300,735,0.1475916039677419,685173,7397,737,0.0485016191290322,6052,0.1509181054516128,5659997,69054,6072,316,398,149,192,1329083,513,40699,1307,2601,356,717178,0.0408859105483871,10923575,937315,718367,1743670,7204,0.022630835,19299,2667,0.1467116502580645,2216715,28717,2673,597,617,27410,0.0646796143548387,6632493,102259,27546,8907.0,486267,0.012720011,90.0,598483,142283,38296,0.1267108028064516,28628074,289006,38429,108195,0.0608855181612903,24956112,300132,108597,0.0818120578387096,53584186,589138,142854,9372,0.1510095177096774,8561885,105168,9402,144,433,844596
2025-12,8278,738613,5654,5631,75,128,694,0.1121907200645161,628836,6557,695,0.0378749608709677,5600,0.1137249484838709,5172697,59311,5623,470,578,108,133,1144316,314,50110,970,1911,335,636415,0.0335421251935483,9818503,836864,638286,1514055,6470,0.011561585,16685,2389,0.1128126137741935,1955099,24888,2398,390,398,25230,0.0461127591935483,6197903,93530,25394,8027.0,442105,0.012594111,33.0,537130,115531,33165,0.0894529766774193,23915643,240246,33291,86301,0.0317881923870967,20932359,245415,86977,0.0466985749032258,44848002,485661,116345,8646,0.1132124961290322,7756632,90757,8683,99,308,741034
2025-11,11369,758868,7664,7559,227,441,737,0.1327470002666666,764362,7131,739,0.0370859798333333,6251,0.1287230401333333,5962116,66687,6289,341,448,149,193,1353880,528,49261,1022,2056,385,630587,0.0317086062666666,10940154,850958,631978,1646490,6930,0.032363844,18125,2515,0.1223767123,2282950,26501,2531,776,800,28307,0.0514260644,7316245,109340,28579,10992.0,441053,0.017542896,212.0,545076,148089,37167,0.1019153764666666,28151049,272701,37373,114167,0.0342777429,25779999,303296,115071,0.0497360526,53931048,575997,149346,9518,0.1274880272666666,9009428,100319,9570,88,261,761930
2025-10,13229,905146,8465,8364,251,496,776,0.1534864229032258,834794,9128,777,0.0401223954516129,6568,0.1502205919677419,6539884,80418,6601,422,555,140,156,1539121,856,39127,866,1639,421,736752,0.0333336112580645,13735642,988455,739304,1959803,7431,0.033732025,19716,2824,0.1407166663548387,2551913,32565,2832,897,920,29767,0.0516439829354838,7012195,122889,29981,12914.0,481722,0.017516922,215.0,593383,186129,40784,0.1125595802258064,31139830,326716,40957,151282,0.0423044751935483,30501599,385620,151964,0.0583256576129032,61641429,712336,186982,10146,0.1482018213225806,9926591,122117,10191,125,384,908447
2025-09,15486,1023957,10071,10020,193,302,850,0.1465088380666666,835087,10223,852,0.0436599305999999,6474,0.1551590950333333,6432540,79857,6492,343,416,302,360,1675351,581,37458,1473,2469,450,845047,0.0371983634333333,16700089,1149341,846788,2190284,9241,0.0208581,24190,3057,0.1419599008666666,2610953,35355,3062,649,665,35689,0.0569467916,8365790,150383,35937,15202.0,498076,0.020121959,6.0,624465,197260,45172,0.1130366546333333,32047385,341634,45379,158182,0.0498544427999999,33480154,409320,158957,0.0659928934666666,65527539,750954,198000,10341,0.1504831713,9878580,125435,10365,129,393,1027040
2025-08,11104,927003,7299,7266,135,200,862,0.1341750196774193,661435,12438,866,0.0428455835806451,6088,0.1471839777096774,4950950,72365,6104,333,424,314,372,1245304,515,26406,1167,2115,429,788393,0.036837862032258,14945127,1059741,790286,1921770,8417,0.01609634,22276,3061,0.1366604720645161,2164132,34150,3076,584,595,32345,0.0574723773225806,6718977,129451,32654,10861.0,461639,0.015953192,0.0,572239,150859,42093,0.1105330296129032,24244563,307737,42300,112748,0.0448122625806451,20999896,297522,113393,0.0641286427741935,45244459,605259,151647,10022,0.1432819878064516,7776517,118953,10061,110,372,929944
2025-07,9365,860236,5973,5938,262,371,910,0.1451886266129032,704378,12572,910,0.0431044263548387,6235,0.1526833506129032,5248457,77045,6254,394,0,319,0,1331272,927,24049,809,1694,362,727246,0.0363186783870967,13889476,994988,728737,1871668,8445,0.031090542,21679,3038,0.1400603690645161,2513798,35110,3048,971,1017,29889,0.0577889268387096,5866159,121884,30045,9112.0,451848,0.013286945,0.0,562983,146161,41938,0.1176869299354838,28566825,323576,42164,109202,0.0462730807741935,23059932,299056,109662,0.0682955632580645,51626757,622632,146816,10161,0.1489585919032258,8466633,124727,10185,141,432,862744
2025-06,8951,858256,5911,5885,172,210,947,0.1332849562666666,747724,12903,951,0.0368495024,6019,0.1472758114666666,5318599,73394,6040,465,0,219,0,1321038,498,19918,1022,1672,0,728100,0.0313557662333333,14864427,999461,730037,1853474,8377,0.020410585,21666,3109,0.1333041483666666,2355949,34721,3117,558,583,30330,0.0486227514333333,6215530,120590,30602,8725.0,432184,0.013545037,0.0,535462,141965,42868,0.1042792876333333,26912568,318647,43089,104090,0.0389424732,22823903,287113,104540,0.0585693043666666,49736471,605760,142598,9976,0.1426533863,8422272,121018,10011,141,432,860788
2025-05,12491,1063107,9110,9080,173,220,1057,0.1356993226451613,956908,15385,1059,0.041340258032258,6337,0.1486333984838709,5959211,82253,6367,490,0,164,0,1594920,615,15621,815,1783,0,890594,0.0356328001290322,15258429,1146090,892748,2183799,11987,0.014338997,32939,3431,0.1348965718064516,2727927,40895,3446,668,685,40837,0.0543197761290322,8559190,158985,41114,12224.0,613310,0.014591198,0.0,740766,174818,49088,0.1087164516774193,32383775,374085,49351,131628,0.0363345233548387,29654637,349526,132409,0.0556449646451612,62038412,723611,175983,10717,0.1439245139032258,9644046,138533,10756,114,391,1066241
2025-04,12377,1024694,8945,8896,172,231,1162,0.1583308268,985881,15890,1166,0.0460725041333333,6771,0.1627138554,6133076,92269,6799,481,0,342,0,1639640,689,12242,1431,2702,0,828960,0.037973377,14938692,1091281,830737,2275287,12854,0.013365452,34834,3750,0.1475187581,2833004,44495,3766,793,812,43999,0.0567888933,8586562,170191,44409,11941.0,625453,0.014356309,0.0,748502,211797,52381,0.1189921994333333,33071577,416587,52619,167407,0.0443626002333333,31799776,432965,168114,0.0637182793333333,64871353,849552,212601,11623,0.1578636976666666,9953280,152692,11682,163,506,1027386
2025-03,16133,944343,11636,11592,385,438,1065,0.1579172791935484,1086208,13894,1070,0.0431267290967741,7168,0.1654835589032258,7634290,104752,7186,610,0,503,0,1855948,900,14730,1222,2645,0,749417,0.035499099548387,14809818,1045778,751278,2339305,14633,0.02605224,40906,3792,0.1448128664838709,3226441,49771,3805,975,997,47213,0.0569786621612903,9676707,195645,47555,15690.0,525960,0.022236534,0.0,657746,214838,54914,0.1153655261935484,39783478,471630,55129,166564,0.0376832723870967,35099583,448753,167295,0.0571169436129032,74883061,920383,215683,12008,0.1592177552903226,11953214,168546,12052,173,484,947436
2025-02,15653,941930,11396,11337,338,380,1096,0.1517349364285714,930238,13250,1100,0.0432920480714285,6545,0.1647592819642857,5756544,84342,6563,457,0,1222,0,1664613,848,14063,1620,3029,0,737406,0.0348467601428571,15146274,1007797,739045,2227229,14320,0.023547443,38353,3739,0.1452296212142857,2744878,45127,3749,924,941,43609,0.05825963675,8943229,185036,43901,15277.0,528792,0.021089449,0.0,659712,225869,55152,0.11764622675,34289385,429759,55415,175328,0.0438694324285714,32024415,461327,176088,0.06249209375,66313800,891086,226820,11327,0.1574283093571428,9441341,142952,11353,161,483,944433
2025-01,15052,889016,11209,11153,306,391,1103,0.1630213921612903,1013412,13488,1104,0.0576971273548387,6234,0.1746450069032258,5543821,80628,6253,440,0,439,0,1616285,881,13970,1106,2220,0,723128,0.0467864608709677,15360429,1008440,724775,2138018,14562,0.02059358,39668,3866,0.1619949543225806,3022043,46310,3876,988,1007,44726,0.0728634680645161,9899255,187180,44953,14685.0,518118,0.021274254,0.0,655099,196157,51363,0.1347213123548387,32214079,393538,51534,149240,0.0642260005483871,29881591,407757,149412,0.0868936098064516,62095670,801295,196565,11179,0.1691767138709677,9597451,140712,11209,193,550,891498
2024-12,11272,804499,8119,8089,178,0,995,0.1166088703225806,823193,10234,998,0.0362248053225806,5410,0.1316133371290322,5010703,61521,5430,360,0,665,0,1409732,573,9039,677,1276,0,674933,0.0311036146774193,14420980,882412,676177,1724857,11790,0.014909121,31299,3180,0.1124242613870967,2406817,33339,3187,612,636,37203,0.0442488117096774,8706821,143030,37534,10993.0,467144,0.017818071,0.0,563446,148062,41277,0.0895163287741935,27613475,293439,41457,110000,0.030734500516129,25565107,300433,110448,0.0461735184193548,53178582,593872,148730,9606,0.1236207706774193,8247672,105237,9627,105,299,806435
2024-11,14944,851849,10916,10889,159,0,1065,0.1336333109333333,948911,10926,1071,0.0423332544,5291,0.1407097750666666,4693491,61506,5307,414,0,497,0,1514886,442,8125,733,1433,0,695207,0.0358733206333333,14599798,940022,697042,1905770,9368,0.017052767,25298,3227,0.1260270946,2437228,35097,3237,508,524,43848,0.0611821509,11291129,175075,44102,14637.0,523444,0.021115059,0.0,636664,178070,45625,0.1042178043,28985713,321757,45832,137019,0.0373616881666666,27895162,360881,137859,0.0535099012333333,56880875,682638,179142,9575,0.1363382553,8087209,107671,9602,110,326,855064
2024-10,14591,818734,10566,10535,127,0,1045,0.1480240154516129,963123,12082,1049,0.0440011607096774,5425,0.1576690718709677,5150610,67563,5437,505,0,2189,0,1580525,433,7281,891,1793,0,638815,0.036251054,14614425,883838,640610,1931597,8076,0.015774438,22526,3531,0.1356956911935484,2872378,40774,3546,506,516,38872,0.0562046578387096,9459085,159629,39226,14245.0,466104,0.022539261,0.0,576754,198984,44734,0.1116595377741935,30567050,351944,44990,158987,0.0409486116774193,31163089,415248,159893,0.0578990284193548,61730139,767192,200080,9956,0.1489290078387097,8995241,120589,9982,122,388,822610
2024-09,15784,814813,5182,5156,45,0,1024,0.1361666717666666,839614,11062,1028,0.0398075867999999,5304,0.1451228555666666,4261221,63175,5322,386,0,720,0,1413560,0,0,941,1807,0,631249,0.0320979793666666,12838787,851009,633446,1847547,4124,0.014643671,12952,3611,0.1269825913,2387745,38591,3623,631,640,38959,0.0498860681666666,9950404,153380,39485,15370.0,443209,0.024079478,0.0,544994,198375,45467,0.1013210030333333,26214896,328881,45780,157061,0.0421892212666666,28271896,400835,157710,0.0567291398666666,54486792,729716,199329,9958,0.1381969891,7498900,113064,9987,0,0,817742
